Comment,Designator,Footprint,LCSC Part #
0.1uF,C4 C11 C20 C22 C23 C24,C0201,
0.1uF,C33,SPARKFUN-CAPACITORS_0603,
1.0uF,C30,SPARKFUN-CAPACITORS_0805,
1.0uF,C31,SPARKFUN-CAPACITORS_0603,
1k,R14 R15 R17,R0201,
1uF,C25,C0201,
2.2k,R20 R21,R0201,
4.7uF,C19,C0201,
5.6k,R23,SPARKFUN-RESISTORS_0603,
10k,R16,R0201,
47k,R22,SPARKFUN-RESISTORS_0603,
100pF,C5,C0201,
5050701022,J1,CONN_505070-1022_MOL,
AP3012KTR-G1,U5,SOT23-5,
BAT20JFILM,D1,SOD-323,
CDRH2D18/HPNP 10uH,L3,INDUCTOR_4.7UH,
DNP,C14,C0201,
MAX30101,U1,MAX30100,
SML-P12U2TT86R,U$20,DIODFN100X60X43-2N,
TEST-POINT3,GND RX SWCLK SWIO TX VBUS VBUS1 VDD,PAD.03X.03,
TMP117,U4,TMP117,
TXS0102DQE,U3,DQE(R-PX2SON-N8),
