Designator,Mid X,Mid Y,Layer,Rotation
C4, 0.80, 5.70,Bottom,90.0
C5,11.60, 7.80,Bottom,270.0
C11, 9.90, 3.10,Bottom,270.0
C14,12.40, 7.80,Bottom,270.0
C19,10.70, 3.10,Bottom,90.0
C20,11.50, 3.10,Bottom,90.0
C22, 7.30, 5.00,Bottom,180.0
C23, 7.70, 2.10,Bottom,270.0
C24, 0.80, 4.10,Bottom,90.0
C25, 0.80, 2.60,Bottom,270.0
C30, 6.86, 9.04,Bottom,180.0
C31,13.74,12.02,Bottom,270.0
C33,23.45, 9.00,Bottom,0.0
D1, 3.65,10.30,Bottom,90.0
GND,33.27, 1.30,Bottom,180.0
J1,38.50, 7.50,Bottom,270.0
L3,10.67,12.12,Bottom,90.0
R14,14.73, 1.27,Bottom,180.0
R15,12.01, 1.27,Bottom,0.0
R16,27.10, 4.70,Bottom,90.0
R17,18.43, 6.16,Bottom,180.0
R20,29.70, 6.80,Bottom,180.0
R21,32.60, 4.80,Bottom,270.0
R22, 1.57,10.25,Bottom,90.0
R23, 2.55,13.40,Bottom,0.0
RX,27.60, 1.30,Bottom,180.0
SWCLK,28.50, 2.80,Bottom,180.0
SWIO,26.60, 2.80,Bottom,180.0
TX,29.50, 1.30,Bottom,180.0
U$20,19.80, 6.16,Bottom,180.0
U1, 3.20, 4.60,Bottom,180.0
U3, 7.30, 3.60,Bottom,90.0
U4,29.67, 5.10,Bottom,180.0
U5, 6.90,12.20,Bottom,0.0
VBUS,32.33, 2.80,Bottom,180.0
VBUS1,31.40, 1.30,Bottom,180.0
VDD,30.41, 2.80,Bottom,180.0
