Qty, PROD_ID, Names, Value, Package
10, , C1; C4; C11; C12; C17; C18; C20; C22; C23; C24, 0.1uF, C0201
1, , C2, 10uF, C0402
6, , C3; C7; C8; C16; C21; C25, 1uF, C0201
1, , C5, 100pF, C0201
2, , C6; C13, 15pF, C0201
2, , C9; C10, 6pF, C0201
1, , C15, 1.2pF, C0201
1, , C19, 4.7uF, C0201
2, CAP-00868, C26; C36, 2.2uF,C0603
1, CAP-08064, C30, 1.0uF,C0805
1, CAP-00868, C31, 1.0uF,C0603
1, CAP-00868, C33, 0.1uF,C0603
1, DIO-11623, D1, BAT20JFILM, SOD-323
1, LCD-13910; CONN-13933, DS3, SPARKFUN-DISPLAYS_OEL_1.8OEL_Y3B, SPARKFUN-DISPLAYS_OEL_1.8_FPC_Y3B
1, , E1, 2450AT18B100E, XDCR_2450AT18B100E
1, , IC1, ADAFRUIT_SENSOR_MPU-9250_ICM20948, ADAFRUIT_SENSOR_QFN24_3MM_NOEP
1, , IC2, DW01A, SOT23-6
1, , J1,5050701022, CONN_505070-1022_MOL
1, NDUC-13457, L1, 3.3nH,402
1, NDUC-13457, L2, 2.7nH,402
1, NDUC-13968, L3, CDRH2D18/HPNP 10uH, INDUCTOR_4.7UH
4, TRANS_14399, Q1; Q2; Q4; Q5, 20V/0.2A/8MHz/1.2?/1Vth, SPARKFUN-DISCRETESEMI_SOT-416FL
1, , Q3, FS8205, SOT95P280X145-6N
10, , R1; R2; R4; R9; R10; R11; R12; R13; R20; R21, 2.2k, R0201
5, , R3; R7; R14; R15; R17, 1k, R0201
1, , R5,100, R0201
3, , R6; R8; R16, 10k, R0201
1, RES-07871, R22, 47k,R0603
1, RES-12378, R23, 5.6k,R0603
1, SWCH-10651, S2, , SWITCH_SPST_SMD_A
1, , U$1, MIC5370-SGYMT, SON50P160X160X60-7N
2, , U$14; U$20, SML-P12U2TT86R, DIODFN100X60X43-2N
1, , U1, MAX30101, MAX30100
1, IC-13460, U2, NRF52832, QFN48-6X6MM
1, , U3, TXS0102DQE, DQE(R-PX2SON-N8)
1, IC-14700, U4, TMP117, TMP117
1, VREG-13911, U5, AP3012KTR-G1, SOT23-5
1, , Y1, CM8V-T1A-32.768KHZ, XTAL_CM8V-T1A-32.768KHZ-7PF-20PPM-TA-QC
1, XTAL-13459, Y2, 32MHz, CRYSTAL-SMD-2.0X1.6MM
